slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,fairshare,0.9948328614136988,0.29,0.9940180729373328,0.9963469866898653,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20394966.703834333,18768639.06588591,0.04597701149425304,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
1,fairshare,0.9920591874751423,0.29,0.9956777058165388,0.9842522010760815,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19875611.791831776,18088235.215586886,0.09195402298850586,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
2,fairshare,0.9920501378406735,0.29,0.9956731623663962,0.9841651900915953,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19852388.1315028,18022548.793164793,0.09195402298850586,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
3,fairshare,0.9934283117703536,0.29,0.9926461263917891,0.9996372436558731,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20261251.274237577,18112479.38122805,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
4,fairshare,0.9934202583521039,0.29,0.9926581447230802,0.9996315836007191,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20251148.463889394,18109647.93903983,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
5,fairshare,0.9934529759025577,0.29,0.9926601141069142,0.9996125681582915,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20255630.97730601,18113870.182799805,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
6,fairshare,0.9934029926721555,0.29,0.9926318473973184,0.9996186504272683,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20256094.257648066,18097831.323976036,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
7,fairshare,0.9934078899683058,0.29,0.9926392412154048,0.9995957527968298,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20256834.497871663,18115966.858020302,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
8,fairshare,0.9934571559757129,0.29,0.992616956155064,0.9995954724231879,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20239718.920256168,18118904.8888323,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
9,fairshare,0.9934371695164613,0.29,0.992628745417125,0.9995985853527765,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20253668.69827359,18121878.85507438,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
10,fairshare,0.9934144156891394,0.29,0.9926723706397305,0.9996322187156726,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20266312.18671139,18104194.79126244,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
11,fairshare,0.9934696866546325,0.29,0.9926575218056818,0.9996562471637097,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20245649.31985046,18124377.999190547,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
12,fairshare,0.9933290275484767,0.29,0.9926382132490043,0.9995677932547061,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20222157.09882598,18039315.582209483,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
13,fairshare,0.9934059743333399,0.29,0.9926526305592329,0.9995550551267883,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20209381.280127726,18052575.921895232,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
14,fairshare,0.9933610534333153,0.29,0.9926024917711067,0.9996862259833997,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20212812.662972517,18047862.179862455,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
15,fairshare,0.9934652838069684,0.29,0.9926772557940613,0.9996238385927031,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20271137.00348074,18130617.457732353,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
16,fairshare,0.9934437047240291,0.29,0.992664473086569,0.9996414642660477,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20276838.014699176,18131535.857852023,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
17,fairshare,0.9934228824755421,0.29,0.9926648176811438,0.9995657899428312,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20245615.39834249,18090421.867464602,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
18,fairshare,0.9935059458887209,0.29,0.9926547474700637,0.9995943987895914,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20223148.3557564,18117169.01022842,0.02298850574712641,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
19,fairshare,0.9889813165410873,0.29,0.9936796271453543,0.9911167075836834,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20091217.256599035,17280498.25679808,0.16091954022988508,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
20,fairshare,0.991705705369057,0.29,0.9935094262075511,0.9955690940710805,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20892466.980741717,18048555.22740727,0.11494252873563227,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
21,fairshare,0.9917005359120271,0.29,0.9935139530075573,0.9956028948657383,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20907942.45473337,18053280.13255271,0.11494252873563227,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
22,fairshare,0.996075944518363,0.29,0.9983387571821063,0.9985691509932483,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19464978.803824253,17501036.95818744,0.06896551724137945,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
23,fairshare,0.9960934602327898,0.29,0.9983386174207691,0.9985608777077054,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19469987.060742825,17490827.806846403,0.06896551724137945,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
24,fairshare,0.9960799889121283,0.29,0.9983234909524819,0.9986743697424023,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19451751.025128137,17485286.37525479,0.06896551724137945,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
25,fairshare,0.9961452322555336,0.29,0.9983319827520237,0.9986533536600348,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19471401.518101178,17520923.43453623,0.09195402298850586,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
26,fairshare,0.996142677705945,0.29,0.998313554868939,0.998646602300163,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19431411.44834639,17512227.12532785,0.06896551724137945,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
27,fairshare,0.9960566923559065,0.29,0.9983257500185095,0.9986241672533667,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19447691.44596968,17461736.86260109,0.09195402298850586,100,29,435.0,13,7,50,30,0.26,0.23333333333333334
