slot,policy,jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
12,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20997941.654234994,2348565.879814217,0.6666666666666667,5000,50,750.0
13,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18950826.79159678,2659297.714798939,0.6666666666666667,5000,50,750.0
14,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19504643.70643489,1498826.5403147906,0.6666666666666667,5000,50,750.0
15,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20274328.938061982,2820301.973739027,0.6666666666666667,5000,50,750.0
16,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21443875.423383515,2476310.751452489,0.6666666666666667,5000,50,750.0
17,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20179620.204540387,2069785.5541177623,0.6666666666666667,5000,50,750.0
18,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18057285.58051081,1306658.6619876672,0.6666666666666667,5000,50,750.0
19,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,15204537.196596954,2396596.2197425747,0.6666666666666667,5000,50,750.0
20,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21101675.600413486,5795085.216513863,0.6666666666666667,5000,50,750.0
21,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18622095.807583317,2315922.516232398,0.6666666666666667,5000,50,750.0
22,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20539598.021167174,2169378.307761298,0.6666666666666667,5000,50,750.0
23,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22939002.371513747,7037828.419496508,0.6666666666666667,5000,50,750.0
24,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19080443.319785014,3503279.520927128,0.6666666666666667,5000,50,750.0
25,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22199387.041180912,5157989.811815579,0.6666666666666667,5000,50,750.0
26,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19234262.9451401,2034183.3823286435,0.6666666666666667,5000,50,750.0
27,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21620670.10631388,2738011.492914809,0.6666666666666667,5000,50,750.0
28,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21031756.7303594,1399053.4922920377,0.6666666666666667,5000,50,750.0
29,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21323036.797198962,3544005.1084326007,0.6666666666666667,5000,50,750.0
30,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,17197829.763462752,1543348.909127211,0.6666666666666667,5000,50,750.0
31,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18185490.419177935,2221255.2081862,0.6666666666666667,5000,50,750.0
32,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21019108.89427007,882125.512666607,0.6666666666666667,5000,50,750.0
33,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19610888.032105725,2938650.6893753433,0.6666666666666667,5000,50,750.0
34,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22703549.08250283,3879208.8608063553,0.6666666666666667,5000,50,750.0
35,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20754743.81552247,1966523.8015040413,0.6666666666666667,5000,50,750.0
36,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22101190.166165713,2050496.9282564295,0.6666666666666667,5000,50,750.0
37,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,16199963.584125705,2065156.59480551,0.6666666666666667,5000,50,750.0
38,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19463813.5705506,3705631.274305535,0.6666666666666667,5000,50,750.0
39,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19298425.944547903,964831.2238821477,0.6666666666666667,5000,50,750.0
40,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20739140.52444016,2099037.113253147,0.6666666666666667,5000,50,750.0
