slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,demand,0.9834612485552487,0.33,0.9773938228761485,0.9896588539701804,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,18161602.897756744,14186345.569407072,0.04040404040404044,100,33,495.0,19,9,50,30,0.38,0.3
1,demand,0.9858405633014978,0.33,0.9881854480003748,0.9782688133521595,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16784915.498338953,14124665.991460545,0.04040404040404044,100,33,495.0,22,8,50,30,0.44,0.26666666666666666
2,demand,0.9744266384351035,0.33,0.9820613510805354,0.9529029884990803,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17128453.3996094,14192507.682064442,0.08080808080808088,100,33,495.0,21,8,50,30,0.42,0.26666666666666666
3,demand,0.9721406287565172,0.33,0.9719385977764484,0.9681819132936822,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17161028.812342465,12929483.292384343,0.12121212121212133,100,33,495.0,19,10,50,30,0.38,0.3333333333333333
4,demand,0.9788694284989856,0.33,0.9776347126007575,0.9781422562002646,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17417893.2407577,13675536.710146222,0.04040404040404044,100,33,495.0,23,7,50,30,0.46,0.23333333333333334
5,demand,0.9788549471685666,0.33,0.9794135108321848,0.9763019910517127,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17580746.583356038,13273875.67719285,0.04040404040404044,100,33,495.0,20,10,50,30,0.4,0.3333333333333333
6,demand,0.976964036659835,0.33,0.976673435577606,0.9902885359771567,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16715876.234677445,12898040.198407272,0.08080808080808088,100,33,495.0,23,5,50,30,0.46,0.16666666666666666
7,demand,0.970970104788575,0.33,0.9701454751481694,0.9690112020217205,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16980053.871649247,12494335.89704043,0.0,100,33,495.0,24,6,50,30,0.48,0.2
8,demand,0.9819092883930657,0.33,0.9799014451796966,0.9803945943345407,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17441142.93366952,13926292.621410757,0.08080808080808088,100,33,495.0,17,12,50,30,0.34,0.4
9,demand,0.9805497988560026,0.33,0.9776775460739724,0.9874760437223533,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17105423.90471617,13277086.91410876,0.101010101010101,100,33,495.0,21,8,50,30,0.42,0.26666666666666666
10,demand,0.9748237348912995,0.33,0.9751285443635577,0.9695177899665727,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17192205.019856684,12907090.818604851,0.060606060606060774,100,33,495.0,19,9,50,30,0.38,0.3
11,demand,0.9801856213196132,0.33,0.9782530119733648,0.9772962971268025,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16801737.980498746,12935649.111991428,0.04040404040404044,100,33,495.0,20,8,50,30,0.4,0.26666666666666666
12,demand,0.982161170870086,0.33,0.9821995915515154,0.9812644729156286,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17227319.977912273,13272819.059909599,0.04040404040404044,100,33,495.0,21,11,50,30,0.42,0.36666666666666664
13,demand,0.9759158057196684,0.33,0.9725993083954763,0.9751941052981974,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17238643.192190524,13105331.09458767,0.04040404040404044,100,33,495.0,23,5,50,30,0.46,0.16666666666666666
14,demand,0.978776373591926,0.33,0.9803292583773526,0.9698315498488448,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16988631.877573073,13189563.2262023,0.04040404040404044,100,33,495.0,22,7,50,30,0.44,0.23333333333333334
15,demand,0.9760998742795,0.33,0.9760926978514967,0.9652441005093005,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17404876.495856024,12916574.034191966,0.060606060606060774,100,33,495.0,23,5,50,30,0.46,0.16666666666666666
16,demand,0.9735866955291992,0.33,0.9719083414333297,0.9761705362877147,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16741775.377849163,12524409.023580333,0.060606060606060774,100,33,495.0,22,8,50,30,0.44,0.26666666666666666
17,demand,0.9737298649740622,0.33,0.9704681927610911,0.9757456668161327,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17024062.629232433,12933339.681022126,0.04040404040404044,100,33,495.0,21,8,50,30,0.42,0.26666666666666666
18,demand,0.9809586118167837,0.33,0.9837681671319428,0.9773658471788469,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17562080.491639316,13446510.946430186,0.04040404040404044,100,33,495.0,18,10,50,30,0.36,0.3333333333333333
19,demand,0.97981810549998,0.33,0.9712858580713627,0.9846373180582498,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16241598.643471787,12042913.43263977,0.04040404040404044,100,33,495.0,16,10,50,30,0.32,0.3333333333333333
20,demand,0.9708471338033314,0.33,0.9702518022420505,0.9690290365838207,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,18177323.237911463,13801166.352883298,0.16161616161616177,100,33,495.0,22,8,50,30,0.44,0.26666666666666666
21,demand,0.9742918996631256,0.33,0.977124771594067,0.9639067121274514,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,18078919.865131296,14048827.577290326,0.060606060606060774,100,33,495.0,20,9,50,30,0.4,0.3
22,demand,0.9823733620448293,0.33,0.9816550575747065,0.9850104540871263,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17012198.095093112,12719477.718413156,0.04040404040404044,100,33,495.0,20,10,50,30,0.4,0.3333333333333333
23,demand,0.9824180112415039,0.33,0.983340053363847,0.9846553972818219,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16690062.775695955,12243647.461505571,0.0,100,33,495.0,18,10,50,30,0.36,0.3333333333333333
24,demand,0.9845194405827173,0.33,0.9836158918603122,0.9860362789938285,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16549980.404721133,12695810.288358841,0.060606060606060774,100,33,495.0,20,10,50,30,0.4,0.3333333333333333
25,demand,0.9896264672842374,0.33,0.9906829219822891,0.990194649285441,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17565759.4357602,15315390.70521626,0.0,100,33,495.0,19,12,50,30,0.38,0.4
26,demand,0.983423511610893,0.33,0.9832084358948696,0.9856336606837679,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,17051228.22638416,13119494.668071508,0.060606060606060774,100,33,495.0,21,8,50,30,0.42,0.26666666666666666
27,demand,0.9802030735697668,0.33,0.9804038631997314,0.9779268610001391,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16179292.812308505,12140490.661529176,0.060606060606060774,100,33,495.0,20,10,50,30,0.4,0.3333333333333333
28,demand,0.9829556408635632,0.33,0.9831862611097208,0.9858613643201831,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16809407.221921872,13112571.075256335,0.0,100,33,495.0,21,6,50,30,0.42,0.2
29,demand,0.9846939102068484,0.33,0.9822980462909421,0.9886359901283461,495.0,89.36565663637293,-2.2,89.36565663637293,0.6699999999999999,0.0,16811988.510887478,13080254.109524552,0.12121212121212133,100,33,495.0,20,10,50,30,0.4,0.3333333333333333
