slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,demand,0.9848660130613549,0.5,0.9822417539640733,0.9847463086366152,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,19210280.57574942,15218979.084054133,0.06666666666666665,100,50,750.0,30,13,50,30,0.6,0.43333333333333335
1,demand,0.9861262091236598,0.5,0.9877251190094358,0.9867630722193477,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18027263.389830194,15239086.036587466,0.01333333333333342,100,50,750.0,27,15,50,30,0.54,0.5
2,demand,0.97844451708734,0.5,0.9829274269320647,0.968327615488355,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18282252.40713573,14496905.483267197,0.02666666666666684,100,50,750.0,32,12,50,30,0.64,0.4
3,demand,0.9780463944463644,0.5,0.9759735076062463,0.9753669245035327,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18116600.718932156,14047180.863571836,0.08000000000000007,100,50,750.0,27,15,50,30,0.54,0.5
4,demand,0.9806036516848595,0.5,0.9778798830935942,0.9792073935582758,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18409378.053261768,14324310.486635422,0.040000000000000036,100,50,750.0,30,13,50,30,0.6,0.43333333333333335
5,demand,0.9823220882978922,0.5,0.982787865345668,0.9775919170561358,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18209926.907539476,14338046.03668248,0.040000000000000036,100,50,750.0,30,12,50,30,0.6,0.4
6,demand,0.9833599126844027,0.5,0.9831274178687491,0.9809299817176803,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18113237.353133265,14331382.206887413,0.040000000000000036,100,50,750.0,30,13,50,30,0.6,0.43333333333333335
7,demand,0.9793598167224635,0.5,0.9784500899926128,0.978545348816226,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18439662.204376683,14057626.408825016,0.040000000000000036,100,50,750.0,32,13,50,30,0.64,0.43333333333333335
8,demand,0.9827930571345235,0.5,0.9797885115791756,0.985504645802453,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18496345.200673763,15023593.249035273,0.053333333333333455,100,50,750.0,31,14,50,30,0.62,0.4666666666666667
9,demand,0.9798287511224603,0.5,0.9777685529939873,0.9804602124031293,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18161814.600742847,13636662.342832007,0.09333333333333349,100,50,750.0,30,13,50,30,0.6,0.43333333333333335
10,demand,0.9801459047271988,0.5,0.9805617311929002,0.9775017077502789,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18490100.144142345,14211149.316527817,0.01333333333333342,100,50,750.0,27,17,50,30,0.54,0.5666666666666667
11,demand,0.9792452865821144,0.5,0.9763537797515585,0.9792141070406465,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18262940.554932445,14081349.264311103,0.01333333333333342,100,50,750.0,29,15,50,30,0.58,0.5
12,demand,0.9821247295088383,0.5,0.9819961991155931,0.9803748974088877,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18633127.473511398,14598719.426292187,0.01333333333333342,100,50,750.0,30,16,50,30,0.6,0.5333333333333333
13,demand,0.9810439990744498,0.5,0.978606019845747,0.9802968827461782,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18518443.065401055,14546361.174770478,0.01333333333333342,100,50,750.0,29,12,50,30,0.58,0.4
14,demand,0.9795349275047929,0.5,0.9790532221884802,0.9732004236585371,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18499123.493227616,14339051.270723604,0.02666666666666684,100,50,750.0,28,12,50,30,0.56,0.4
15,demand,0.9816992276005309,0.5,0.9791528568017546,0.9814421697365141,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18427767.045076262,14020094.48003417,0.053333333333333455,100,50,750.0,30,11,50,30,0.6,0.36666666666666664
16,demand,0.981269851980942,0.5,0.9804932552736674,0.9777352089124681,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18190042.64141238,14078285.680154512,0.02666666666666684,100,50,750.0,30,12,50,30,0.6,0.4
17,demand,0.9795274080709101,0.5,0.9793193860017764,0.9743171079218581,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.5,0.0,18324244.89112736,14198255.997676747,0.01333333333333342,100,50,750.0,28,14,50,30,0.56,0.4666666666666667
