slot,policy,jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
16,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20216486.541592017,2011894.2798019298,0.3442666666666667,5000,5000,75000.0
17,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19866981.2407914,1910055.8066732031,0.3442666666666667,5000,5000,75000.0
18,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19778570.144400578,1921255.1635686308,0.3442666666666667,5000,5000,75000.0
19,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19850626.16133483,2124536.810442065,0.3442666666666667,5000,5000,75000.0
20,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19989068.266608547,1956586.8266789394,0.3442666666666667,5000,5000,75000.0
21,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20032568.206870213,2037277.3636906266,0.3442666666666667,5000,5000,75000.0
22,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20105374.049985796,1923726.2980650812,0.3442666666666667,5000,5000,75000.0
23,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20043661.127397444,2032798.556448123,0.3442666666666667,5000,5000,75000.0
24,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19516149.61223972,1856825.0203949586,0.3442666666666667,5000,5000,75000.0
25,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19995291.77623337,1967615.3985067212,0.3442666666666667,5000,5000,75000.0
26,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20155897.686227746,2138194.450922329,0.3442666666666667,5000,5000,75000.0
27,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20204972.075262103,2365259.3423929135,0.3442666666666667,5000,5000,75000.0
28,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20323527.60709071,2067647.8498884516,0.3442666666666667,5000,5000,75000.0
29,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20352782.47232319,2348161.2449202086,0.3442666666666667,5000,5000,75000.0
30,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19923110.482324407,1922747.451222285,0.3442666666666667,5000,5000,75000.0
31,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20008914.28570412,2204458.955707751,0.3442666666666667,5000,5000,75000.0
