slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,fairshare,0.9946966344569486,0.28,0.9943195487273175,0.9953570608872654,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20410105.597679067,18766285.396195296,0.023809523809523947,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
1,fairshare,0.9916238181632739,0.28,0.9958314949956949,0.9839800038974675,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,19871729.996280782,17727304.383904804,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
2,fairshare,0.991724968912993,0.28,0.9958281199175067,0.9842205511582431,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,19884966.154100347,17740906.75888609,0.04761904761904767,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
3,fairshare,0.9945133307316669,0.28,0.9931443753880976,0.9980402413679943,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20457188.598040465,18456328.916351333,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
4,fairshare,0.9945176173237673,0.28,0.9931518742013038,0.9981017046473329,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20461205.74654032,18458793.16865854,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
5,fairshare,0.9945067716780077,0.28,0.9931513037908279,0.9980296796334859,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20461251.325144988,18449631.97951424,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
6,fairshare,0.994539044354114,0.28,0.9931534130011896,0.9980796011666475,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20461020.244976074,18470052.10869876,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
7,fairshare,0.9944571873283059,0.28,0.9931529569979051,0.9980810423805028,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20460661.024442136,18432621.71497154,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
8,fairshare,0.9945099539775123,0.28,0.9931397024591175,0.9979528967691458,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20455815.452742036,18445015.22130375,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
9,fairshare,0.9945123173553824,0.28,0.9931202457922695,0.9979727908678516,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20434970.85335384,18431038.526214246,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
10,fairshare,0.9945046640802959,0.28,0.9931397287791645,0.9980892843292132,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20451648.38843799,18442576.23094483,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
11,fairshare,0.9945819260448401,0.28,0.9931395473952986,0.9981262849804424,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20449312.111130808,18472591.51631387,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
12,fairshare,0.9944833397853624,0.28,0.9930917203073202,0.9980128428489431,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20392560.222178183,18404224.889542878,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
13,fairshare,0.9945282676529069,0.28,0.993125937962965,0.9980244763725801,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20370275.949412733,18375394.325831708,0.04761904761904767,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
14,fairshare,0.9945558978636729,0.28,0.9930915941240737,0.9980039302663636,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20379005.39643538,18417282.490808222,0.04761904761904767,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
15,fairshare,0.9945436725618082,0.28,0.9931488976477106,0.9979703856689113,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20437120.58319628,18437040.375225328,0.04761904761904767,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
16,fairshare,0.9945473267821595,0.28,0.9931544732068566,0.9980418278204084,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20467894.978816483,18466933.688824717,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
17,fairshare,0.9945300091635292,0.28,0.9931574280299821,0.9981002550426672,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20438819.882598612,18440596.525102217,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
18,fairshare,0.9945453853622858,0.28,0.9931087679959134,0.9979580988886829,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20410789.082712043,18429762.51632709,0.04761904761904767,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
19,fairshare,0.9897104572009066,0.28,0.9939418993106042,0.9887667065184612,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20175350.799118496,17540217.014296263,0.14285714285714302,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
20,fairshare,0.9924008032232318,0.28,0.9945461189710192,0.9940494537989166,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,21013524.678313334,18402387.950404413,0.09523809523809534,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
21,fairshare,0.9923932045458087,0.28,0.9945491981603406,0.9940669225102514,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,21015552.461413562,18410231.73615292,0.09523809523809534,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
22,fairshare,0.9953018865624168,0.28,0.9987701912177004,0.9981199584211379,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,19404093.428884346,17372177.69911587,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
23,fairshare,0.9951911029858238,0.28,0.9987660489353657,0.9981626577737875,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,19391719.61921972,17226517.876515787,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
24,fairshare,0.9952703797983956,0.28,0.9987769982344039,0.9981539634222277,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,19406398.119340364,17355095.63819134,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
25,fairshare,0.995213905837003,0.28,0.9987781322874154,0.9980838444871092,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,19406162.709010158,17298841.215222295,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
26,fairshare,0.9952991264354278,0.28,0.9987724593165939,0.9981612971903435,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,19386587.43501534,17360220.18792333,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
27,fairshare,0.9952201497803173,0.28,0.9987665707232029,0.9981600414835141,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,19381049.61839513,17262456.65170895,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
28,fairshare,0.9952459050703272,0.28,0.9987604505016953,0.9981164323409558,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,19387231.368414667,17275481.99767621,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
