slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,demand,0.9860506366448789,1.0,0.9841125464348311,0.9873835005358731,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20791891.387004655,16888999.315607853,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
1,demand,0.9865260531713633,1.0,0.9864070767576515,0.9859434163930407,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20226985.84701421,17344646.242469475,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
2,demand,0.9865633079491994,1.0,0.9864173804441015,0.9860374366013003,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20226823.152944323,17350982.828810945,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
3,demand,0.9829351088399089,1.0,0.981163144155103,0.9802784668088467,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20375845.609154344,16082545.86513783,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
4,demand,0.9829747005936391,1.0,0.9811759589328888,0.9803030593232409,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20386137.700124994,16100996.200349763,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
5,demand,0.9830117356170125,1.0,0.9812145655445957,0.9803574133065838,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20405609.06617274,16117833.63607486,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
6,demand,0.9830291632211787,1.0,0.981226548487862,0.9803820169769736,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20411206.470779907,16133306.511278674,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
7,demand,0.983044167693327,1.0,0.9812032585099036,0.980508119592485,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20402712.25828104,16133259.034190217,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
8,demand,0.9830274325381784,1.0,0.9812167484636242,0.9804360268697477,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20392348.73187631,16091000.513954364,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
9,demand,0.9829620700289586,1.0,0.981189310296077,0.9802504178059421,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20383470.43364786,16042317.594108632,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
10,demand,0.9830226972966356,1.0,0.9812522993697428,0.9802970020210675,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20411457.901059087,16120545.194361197,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
11,demand,0.982979459217335,1.0,0.9811861145612394,0.9803388976735598,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20390302.389702436,16130787.754685743,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
12,demand,0.9828242140219592,1.0,0.9810814689988231,0.9800620266340321,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20344369.11237678,16105625.536586916,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
13,demand,0.9830067475871638,1.0,0.9811704685809799,0.9804048772655911,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20360406.134348083,16124109.142480802,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
14,demand,0.9830482376997628,1.0,0.9811767894106327,0.980511169867408,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20378149.85755649,16147707.611755695,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
15,demand,0.9830784831285321,1.0,0.9812588388994288,0.9804963840054018,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20414269.830864117,16148672.932627622,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
16,demand,0.983057261297858,1.0,0.9812496427635277,0.9804476044186548,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20418323.191583276,16123188.06058471,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
17,demand,0.983048248896133,1.0,0.9812385137811387,0.9803979080490564,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20409017.506467786,16133144.856040593,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
18,demand,0.9829072161644054,1.0,0.981160445584168,0.9801388421817114,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20350246.897808794,15960381.789336646,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
19,demand,0.9808723559464921,1.0,0.9773027595298714,0.9807808938652186,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20183866.228994478,15536704.863213673,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
20,demand,0.9813223889205445,1.0,0.9832617794574469,0.9798566653650148,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20784673.544292316,16628742.73865023,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
21,demand,0.9813789614263315,1.0,0.9832628263237433,0.9799826011462205,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20785816.06869339,16643045.370451862,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
22,demand,0.9866537798354077,1.0,0.9865393818858033,0.987902310588277,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,19910499.40131932,16107792.878814928,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
