slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,fairshare,0.9943844625508175,0.29,0.9946410491998118,0.995197839735353,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20328346.478214514,18586895.684605118,0.02298850574712641,100,29,435.0,10,12,50,30,0.2,0.4
1,fairshare,0.9908126146308592,0.29,0.9958008181571969,0.9844288164782462,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19733879.482396748,17472288.00376068,0.09195402298850586,100,29,435.0,10,12,50,30,0.2,0.4
2,fairshare,0.990964600468311,0.29,0.9958042159360201,0.9846978700127559,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19735575.42952962,17504074.85558325,0.09195402298850586,100,29,435.0,10,12,50,30,0.2,0.4
3,fairshare,0.9942294215950931,0.29,0.9934281807779485,0.9966896467040524,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20345668.63959066,18397782.079565313,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
4,fairshare,0.9941748718919967,0.29,0.9934435676523764,0.9966774529879009,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20360121.15248128,18387260.733051244,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
5,fairshare,0.9942586836991508,0.29,0.9934349784329,0.9967903559766291,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20357945.949817903,18411261.50747635,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
6,fairshare,0.9941391167370177,0.29,0.9934786629521297,0.9966963880416975,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20358300.311452143,18351429.82830041,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
7,fairshare,0.994189298727574,0.29,0.9934328249318799,0.9966415259757878,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20346412.620546103,18381665.26079633,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
8,fairshare,0.9941641974085704,0.29,0.9934759084007747,0.9966299176467658,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20344667.231922254,18360387.652522475,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
9,fairshare,0.9942241131618049,0.29,0.9934399103939414,0.9966778850257955,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20366034.30877712,18391281.05645906,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
10,fairshare,0.9941903563088735,0.29,0.993463511724344,0.9968158675077297,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20357981.330607127,18397974.370451152,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
11,fairshare,0.9942028869518493,0.29,0.9934519837267554,0.9966235744833672,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20362454.72745026,18385727.812848024,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
12,fairshare,0.9941688241161475,0.29,0.9934233558139671,0.9967642656494928,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20333777.867170837,18359832.70243639,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
13,fairshare,0.9941701222243504,0.29,0.9934088135399408,0.9965597042819777,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20250101.26647117,18273094.30610684,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
14,fairshare,0.994134250392964,0.29,0.9934302994294115,0.9964864073987589,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20280518.1607244,18280486.55851513,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
15,fairshare,0.9941273562238033,0.29,0.9934864736684254,0.9965870872178663,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20374009.512805626,18400263.94903782,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
16,fairshare,0.994218575574839,0.29,0.9934636035662059,0.9967324925532498,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20353253.805258792,18404050.70490811,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
17,fairshare,0.9941541939820143,0.29,0.9934297284383117,0.9965407445254344,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20335304.733741753,18373805.788024437,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
18,fairshare,0.9941871524983347,0.29,0.9934346839477846,0.9967053152550657,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20326008.65917758,18376155.381437585,0.06896551724137945,100,29,435.0,10,12,50,30,0.2,0.4
19,fairshare,0.9893688518475471,0.29,0.994148391467777,0.9883928011546181,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20092509.068735994,17561727.93805112,0.09195402298850586,100,29,435.0,10,12,50,30,0.2,0.4
20,fairshare,0.9905815441891648,0.29,0.9953934656756092,0.9914798334187561,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20804226.658926558,17585943.859223153,0.09195402298850586,100,29,435.0,10,12,50,30,0.2,0.4
21,fairshare,0.9905604679461371,0.29,0.9953973223955481,0.991466263441479,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20809398.184145145,17590748.19562911,0.09195402298850586,100,29,435.0,10,12,50,30,0.2,0.4
22,fairshare,0.9942877380399252,0.29,0.9989841715486351,0.9977852109803128,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19243801.341049112,16961512.79011447,0.11494252873563227,100,29,435.0,10,12,50,30,0.2,0.4
23,fairshare,0.9942724946391109,0.29,0.9989875696216258,0.99779849353621,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19249538.61537321,17002167.882403478,0.11494252873563227,100,29,435.0,10,12,50,30,0.2,0.4
24,fairshare,0.9942192541603363,0.29,0.998988612748323,0.9978179073703134,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19239483.82194746,16992270.03231845,0.11494252873563227,100,29,435.0,10,12,50,30,0.2,0.4
25,fairshare,0.994239663243576,0.29,0.9989812457177776,0.9977980138604472,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19241163.262626436,17020117.44924179,0.11494252873563227,100,29,435.0,10,12,50,30,0.2,0.4
26,fairshare,0.9942474459132052,0.29,0.9989848964349344,0.9978867071585897,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19228030.20317553,17006054.570222005,0.11494252873563227,100,29,435.0,10,12,50,30,0.2,0.4
