slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,priority,0.9860608578314483,1.0,0.9840623110175227,0.9874134078483098,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20776888.108573265,16908522.88777559,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
1,priority,0.9865131171589472,1.0,0.9863900065509562,0.985900341153809,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20222059.012696154,17333258.43791367,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
2,priority,0.9865758836135676,1.0,0.9864065220969817,0.9860563883913045,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20232132.359197117,17343246.271759752,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
3,priority,0.9830626238451338,1.0,0.9812282688909004,0.9804733950058521,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20403991.735338498,16125457.64016401,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
4,priority,0.9830241100548028,1.0,0.9811992699231794,0.980410532364906,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20408464.039849456,16145023.835273217,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
5,priority,0.9830175496105733,1.0,0.981203810848053,0.9803732273739363,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20400281.98447871,16099075.41346581,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
6,priority,0.983065382667478,1.0,0.9812390058271326,0.9804613131187382,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20409646.766479418,16146582.904676212,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
7,priority,0.9829686916639083,1.0,0.9811611748525635,0.9803748167254049,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20381564.375756864,16139002.193212055,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
8,priority,0.9829517688664787,1.0,0.9812399789980472,0.9801079643756629,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20402895.585405175,16110754.612402124,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
9,priority,0.9829409372631461,1.0,0.9811764043547878,0.9802328693553652,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,20389087.46292834,16117842.982867854,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
